56660.209,643.4,10.61,False
56664.513,611.6,13.42,False
56669.5,587.5,18.78,False
56683.48,629.4,9.963,False
56686.473,610.8,10.5,False
56696.778,590.0,9.349,False
56713.426,644.3,38.51,False
56715.388,642.7,9.069,False
56717.334,668.4,9.148,False
56720.446,628.2,9.675,False
56722.387,668.7,8.188,False
56726.457,549.3,9.348,False
56739.41,632.5,9.642,False
56745.281,665.7,9.823,False
56747.416,625.9,11.11,False
56749.373,645.0,9.694,False
56751.34,617.3,9.567,False
56755.341,568.7,11.64,False
56768.227,659.4,8.045,False
56772.234,745.6,9.055,False
56780.234,630.3,8.484,False
56782.247,697.8,9.375,False
56783.248,710.8,9.464,False
56795.175,740.4,10.58,False
56799.212,681.4,8.774,False
56804.187,654.0,10.05,False
56808.259,570.9,12.1,False
56813.227,566.7,10.18,False
56825.186,658.7,9.413,False
56829.211,662.4,11.04,False
56833.21,731.7,11.62,False
56837.189,650.4,9.82,False
57038.487,922.5,10.86,False
57050.294,967.4,11.21,False
57067.372,910.7,11.22,False
57082.473,837.7,10.22,False
57097.48,832.3,14.22,False
57106.472,899.0,12.91,False
57127.217,909.7,12.4,False
57135.173,930.1,11.83,False
57159.165,951.7,12.87,False
57166.165,912.7,11.38,False
57185.171,784.8,9.992,False
57195.598,748.4,10.37,False
57428.45,1060.0,13.01,False
57435.404,1271.0,14.44,False
57451.456,1259.0,14.34,False
57463.401,1020.0,11.24,False
57480.602,1125.0,12.28,False
57490.225,1294.0,19.97,False
57492.342,1038.0,12.28,False
57510.319,1154.0,14.77,False
57518.313,1274.0,14.3,False
57543.453,1112.0,13.41,False
57550.163,1127.0,24.15,False
57570.201,1100.0,14.81,False
57576.163,1056.0,15.0,False
57780.773,1219.0,13.48,False
57789.442,1266.0,14.51,False
57805.348,1425.0,17.61,False
57817.317,1408.0,16.32,False
57831.769,1480.0,19.4,False
57843.264,1338.0,15.85,False
57859.22,1373.0,16.83,False
57874.208,1289.0,14.45,False
57892.294,945.9,11.51,False
57901.209,930.0,11.0,False
57918.164,948.4,11.13,False
57933.421,868.6,10.31,False
58127.033,1102.0,11.84,False
58146.422,1113.0,13.77,False
58174.079,984.9,10.61,False
58201.269,1205.0,19.75,False
58216.413,932.2,11.59,False
58230.276,1006.0,10.83,False
58258.285,866.9,10.68,False
58274.302,869.2,17.56,False
58289.206,870.0,9.869,False
58502.473,1001.0,13.89,False
58531.501,831.4,11.55,False
58560.572,771.8,11.19,False
58587.123,724.9,9.444,False
58617.376,691.6,27.33,False
58626.784,878.9,11.23,False
58646.231,802.4,20.41,False
58656.686,653.3,11.73,False
58867.438,1498.0,18.73,False
58895.415,1349.0,15.01,False
59010.299,995.0,29.95,False
59029.196,1230.0,20.9,False
