#x,y,yerr,mask
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
6649.47512,120.75232,1.77012,True
