#CCCD,CCPD
155.32279804326842,132.5
146.82153872983596,105.5
177.44318077272538,135.5
209.07674149052892,260.0
154.1381093685727,128.0
168.2942659108216,219.5
203.307130108206,197.0
306.31553566734186,348.5
152.93600098958294,134.0
186.07317708624288,141.5
200.33053639641687,186.5
179.2348426343416,171.5
215.36988968614142,206.0
154.78320581383002,137.0
125.02374319546729,102.5
348.5405746460784,294.5
178.6809054336382,108.5
158.46522478933957,134.0
160.39949905150317,135.5
172.07529695300047,185.0
157.05972513152852,126.5
117.90839168317635,96.5
151.774877001822,135.5
170.56372645381362,221.0
167.60424838119891,135.5
138.03268881350843,101.0
138.3926053918771,96.5
188.51658697974273,204.5
155.32279804326842,132.5
146.82153872983596,105.5
177.44318077272538,135.5
209.07674149052892,260.0
154.1381093685727,128.0
168.2942659108216,219.5
203.307130108206,197.0
306.31553566734186,348.5
152.93600098958294,134.0
186.07317708624288,141.5
200.33053639641687,186.5
179.2348426343416,171.5
215.36988968614142,206.0
154.78320581383002,137.0
125.02374319546729,102.5
348.5405746460784,294.5
178.6809054336382,108.5
158.46522478933957,134.0
160.39949905150317,135.5
172.07529695300047,185.0
157.05972513152852,126.5
117.90839168317635,96.5
151.774877001822,135.5
170.56372645381362,221.0
167.60424838119891,135.5
138.03268881350843,101.0
138.3926053918771,96.5
188.51658697974273,204.5
155.32279804326842,132.5
146.82153872983596,105.5
177.44318077272538,135.5
209.07674149052892,260.0
154.1381093685727,128.0
168.2942659108216,219.5
203.307130108206,197.0
306.31553566734186,348.5
152.93600098958294,134.0
186.07317708624288,141.5
200.33053639641687,186.5
179.2348426343416,171.5
215.36988968614142,206.0
154.78320581383002,137.0
125.02374319546729,102.5
348.5405746460784,294.5
178.6809054336382,108.5
158.46522478933957,134.0
160.39949905150317,135.5
172.07529695300047,185.0
157.05972513152852,126.5
117.90839168317635,96.5
151.774877001822,135.5
170.56372645381362,221.0
167.60424838119891,135.5
138.03268881350843,101.0
138.3926053918771,96.5
188.51658697974273,204.5
155.32279804326842,132.5
146.82153872983596,105.5
177.44318077272538,135.5
209.07674149052892,260.0
154.1381093685727,128.0
168.2942659108216,219.5
203.307130108206,197.0
306.31553566734186,348.5
152.93600098958294,134.0
186.07317708624288,141.5
200.33053639641687,186.5
179.2348426343416,171.5
215.36988968614142,206.0
154.78320581383002,137.0
125.02374319546729,102.5
348.5405746460784,294.5
178.6809054336382,108.5
158.46522478933957,134.0
160.39949905150317,135.5
172.07529695300047,185.0
157.05972513152852,126.5
117.90839168317635,96.5
151.774877001822,135.5
170.56372645381362,221.0
167.60424838119891,135.5
138.03268881350843,101.0
138.3926053918771,96.5
188.51658697974273,204.5
155.32279804326842,132.5
146.82153872983596,105.5
177.44318077272538,135.5
209.07674149052892,260.0
154.1381093685727,128.0
168.2942659108216,219.5
203.307130108206,197.0
306.31553566734186,348.5
152.93600098958294,134.0
186.07317708624288,141.5
200.33053639641687,186.5
179.2348426343416,171.5
215.36988968614142,206.0
154.78320581383002,137.0
125.02374319546729,102.5
348.5405746460784,294.5
178.6809054336382,108.5
158.46522478933957,134.0
160.39949905150317,135.5
172.07529695300047,185.0
157.05972513152852,126.5
117.90839168317635,96.5
151.774877001822,135.5
170.56372645381362,221.0
167.60424838119891,135.5
138.03268881350843,101.0
138.3926053918771,96.5
188.51658697974273,204.5
155.32279804326842,132.5
146.82153872983596,105.5
177.44318077272538,135.5
209.07674149052892,260.0
154.1381093685727,128.0
168.2942659108216,219.5
203.307130108206,197.0
306.31553566734186,348.5
152.93600098958294,134.0
186.07317708624288,141.5
200.33053639641687,186.5
179.2348426343416,171.5
215.36988968614142,206.0
154.78320581383002,137.0
125.02374319546729,102.5
348.5405746460784,294.5
178.6809054336382,108.5
158.46522478933957,134.0
160.39949905150317,135.5
172.07529695300047,185.0
157.05972513152852,126.5
117.90839168317635,96.5
151.774877001822,135.5
170.56372645381362,221.0
167.60424838119891,135.5
138.03268881350843,101.0
138.3926053918771,96.5
188.51658697974273,204.5
155.32279804326842,132.5
146.82153872983596,105.5
177.44318077272538,135.5
209.07674149052892,260.0
154.1381093685727,128.0
168.2942659108216,219.5
203.307130108206,197.0
306.31553566734186,348.5
152.93600098958294,134.0
186.07317708624288,141.5
200.33053639641687,186.5
179.2348426343416,171.5
215.36988968614142,206.0
154.78320581383002,137.0
125.02374319546729,102.5
348.5405746460784,294.5
178.6809054336382,108.5
158.46522478933957,134.0
160.39949905150317,135.5
172.07529695300047,185.0
157.05972513152852,126.5
117.90839168317635,96.5
151.774877001822,135.5
170.56372645381362,221.0
167.60424838119891,135.5
138.03268881350843,101.0
138.3926053918771,96.5
188.51658697974273,204.5
155.32279804326842,132.5
146.82153872983596,105.5
177.44318077272538,135.5
209.07674149052892,260.0
154.1381093685727,128.0
168.2942659108216,219.5
203.307130108206,197.0
306.31553566734186,348.5
152.93600098958294,134.0
186.07317708624288,141.5
200.33053639641687,186.5
179.2348426343416,171.5
215.36988968614142,206.0
154.78320581383002,137.0
125.02374319546729,102.5
348.5405746460784,294.5
178.6809054336382,108.5
158.46522478933957,134.0
160.39949905150317,135.5
172.07529695300047,185.0
157.05972513152852,126.5
117.90839168317635,96.5
151.774877001822,135.5
170.56372645381362,221.0
167.60424838119891,135.5
138.03268881350843,101.0
138.3926053918771,96.5
188.51658697974273,204.5
155.32279804326842,132.5
146.82153872983596,105.5
177.44318077272538,135.5
209.07674149052892,260.0
154.1381093685727,128.0
168.2942659108216,219.5
203.307130108206,197.0
306.31553566734186,348.5
152.93600098958294,134.0
186.07317708624288,141.5
200.33053639641687,186.5
179.2348426343416,171.5
215.36988968614142,206.0
154.78320581383002,137.0
125.02374319546729,102.5
348.5405746460784,294.5
178.6809054336382,108.5
158.46522478933957,134.0
160.39949905150317,135.5
172.07529695300047,185.0
157.05972513152852,126.5
117.90839168317635,96.5
151.774877001822,135.5
170.56372645381362,221.0
167.60424838119891,135.5
138.03268881350843,101.0
138.3926053918771,96.5
188.51658697974273,204.5
155.32279804326842,132.5
146.82153872983596,105.5
177.44318077272538,135.5
209.07674149052892,260.0
154.1381093685727,128.0
168.2942659108216,219.5
203.307130108206,197.0
306.31553566734186,348.5
152.93600098958294,134.0
186.07317708624288,141.5
200.33053639641687,186.5
179.2348426343416,171.5
215.36988968614142,206.0
154.78320581383002,137.0
125.02374319546729,102.5
348.5405746460784,294.5
178.6809054336382,108.5
158.46522478933957,134.0
160.39949905150317,135.5
172.07529695300047,185.0
157.05972513152852,126.5
117.90839168317635,96.5
151.774877001822,135.5
170.56372645381362,221.0
167.60424838119891,135.5
138.03268881350843,101.0
138.3926053918771,96.5
188.51658697974273,204.5
155.32279804326842,132.5
146.82153872983596,105.5
177.44318077272538,135.5
209.07674149052892,260.0
154.1381093685727,128.0
168.2942659108216,219.5
203.307130108206,197.0
306.31553566734186,348.5
152.93600098958294,134.0
186.07317708624288,141.5
200.33053639641687,186.5
179.2348426343416,171.5
215.36988968614142,206.0
154.78320581383002,137.0
125.02374319546729,102.5
348.5405746460784,294.5
178.6809054336382,108.5
158.46522478933957,134.0
160.39949905150317,135.5
172.07529695300047,185.0
157.05972513152852,126.5
117.90839168317635,96.5
151.774877001822,135.5
170.56372645381362,221.0
167.60424838119891,135.5
138.03268881350843,101.0
138.3926053918771,96.5
188.51658697974273,204.5
155.32279804326842,132.5
146.82153872983596,105.5
177.44318077272538,135.5
209.07674149052892,260.0
154.1381093685727,128.0
168.2942659108216,219.5
203.307130108206,197.0
306.31553566734186,348.5
152.93600098958294,134.0
186.07317708624288,141.5
200.33053639641687,186.5
179.2348426343416,171.5
215.36988968614142,206.0
154.78320581383002,137.0
125.02374319546729,102.5
348.5405746460784,294.5
178.6809054336382,108.5
158.46522478933957,134.0
160.39949905150317,135.5
172.07529695300047,185.0
157.05972513152852,126.5
117.90839168317635,96.5
151.774877001822,135.5
170.56372645381362,221.0
167.60424838119891,135.5
138.03268881350843,101.0
138.3926053918771,96.5
188.51658697974273,204.5
155.32279804326842,132.5
146.82153872983596,105.5
177.44318077272538,135.5
209.07674149052892,260.0
154.1381093685727,128.0
168.2942659108216,219.5
203.307130108206,197.0
306.31553566734186,348.5
152.93600098958294,134.0
186.07317708624288,141.5
200.33053639641687,186.5
179.2348426343416,171.5
215.36988968614142,206.0
154.78320581383002,137.0
125.02374319546729,102.5
348.5405746460784,294.5
178.6809054336382,108.5
158.46522478933957,134.0
160.39949905150317,135.5
172.07529695300047,185.0
157.05972513152852,126.5
117.90839168317635,96.5
151.774877001822,135.5
170.56372645381362,221.0
167.60424838119891,135.5
138.03268881350843,101.0
138.3926053918771,96.5
188.51658697974273,204.5
155.32279804326842,132.5
146.82153872983596,105.5
177.44318077272538,135.5
209.07674149052892,260.0
154.1381093685727,128.0
168.2942659108216,219.5
203.307130108206,197.0
306.31553566734186,348.5
152.93600098958294,134.0
186.07317708624288,141.5
200.33053639641687,186.5
179.2348426343416,171.5
215.36988968614142,206.0
154.78320581383002,137.0
125.02374319546729,102.5
348.5405746460784,294.5
178.6809054336382,108.5
158.46522478933957,134.0
160.39949905150317,135.5
172.07529695300047,185.0
157.05972513152852,126.5
117.90839168317635,96.5
151.774877001822,135.5
170.56372645381362,221.0
167.60424838119891,135.5
138.03268881350843,101.0
138.3926053918771,96.5
188.51658697974273,204.5
155.32279804326842,132.5
146.82153872983596,105.5
177.44318077272538,135.5
209.07674149052892,260.0
154.1381093685727,128.0
168.2942659108216,219.5
203.307130108206,197.0
306.31553566734186,348.5
152.93600098958294,134.0
186.07317708624288,141.5
200.33053639641687,186.5
179.2348426343416,171.5
215.36988968614142,206.0
154.78320581383002,137.0
125.02374319546729,102.5
348.5405746460784,294.5
178.6809054336382,108.5
158.46522478933957,134.0
160.39949905150317,135.5
172.07529695300047,185.0
157.05972513152852,126.5
117.90839168317635,96.5
151.774877001822,135.5
170.56372645381362,221.0
167.60424838119891,135.5
138.03268881350843,101.0
138.3926053918771,96.5
188.51658697974273,204.5
155.32279804326842,132.5
146.82153872983596,105.5
177.44318077272538,135.5
209.07674149052892,260.0
154.1381093685727,128.0
168.2942659108216,219.5
203.307130108206,197.0
306.31553566734186,348.5
152.93600098958294,134.0
186.07317708624288,141.5
200.33053639641687,186.5
179.2348426343416,171.5
215.36988968614142,206.0
154.78320581383002,137.0
125.02374319546729,102.5
348.5405746460784,294.5
178.6809054336382,108.5
158.46522478933957,134.0
160.39949905150317,135.5
172.07529695300047,185.0
157.05972513152852,126.5
117.90839168317635,96.5
151.774877001822,135.5
170.56372645381362,221.0
167.60424838119891,135.5
138.03268881350843,101.0
138.3926053918771,96.5
188.51658697974273,204.5
155.32279804326842,132.5
146.82153872983596,105.5
177.44318077272538,135.5
209.07674149052892,260.0
154.1381093685727,128.0
168.2942659108216,219.5
203.307130108206,197.0
306.31553566734186,348.5
152.93600098958294,134.0
186.07317708624288,141.5
200.33053639641687,186.5
179.2348426343416,171.5
215.36988968614142,206.0
154.78320581383002,137.0
125.02374319546729,102.5
348.5405746460784,294.5
178.6809054336382,108.5
158.46522478933957,134.0
160.39949905150317,135.5
172.07529695300047,185.0
157.05972513152852,126.5
117.90839168317635,96.5
151.774877001822,135.5
170.56372645381362,221.0
167.60424838119891,135.5
138.03268881350843,101.0
138.3926053918771,96.5
188.51658697974273,204.5
155.32279804326842,132.5
146.82153872983596,105.5
177.44318077272538,135.5
209.07674149052892,260.0
154.1381093685727,128.0
168.2942659108216,219.5
203.307130108206,197.0
306.31553566734186,348.5
152.93600098958294,134.0
186.07317708624288,141.5
200.33053639641687,186.5
179.2348426343416,171.5
215.36988968614142,206.0
154.78320581383002,137.0
125.02374319546729,102.5
348.5405746460784,294.5
178.6809054336382,108.5
158.46522478933957,134.0
160.39949905150317,135.5
172.07529695300047,185.0
157.05972513152852,126.5
117.90839168317635,96.5
151.774877001822,135.5
170.56372645381362,221.0
167.60424838119891,135.5
138.03268881350843,101.0
138.3926053918771,96.5
188.51658697974273,204.5
155.32279804326842,132.5
146.82153872983596,105.5
177.44318077272538,135.5
209.07674149052892,260.0
154.1381093685727,128.0
168.2942659108216,219.5
203.307130108206,197.0
306.31553566734186,348.5
152.93600098958294,134.0
186.07317708624288,141.5
200.33053639641687,186.5
179.2348426343416,171.5
215.36988968614142,206.0
154.78320581383002,137.0
125.02374319546729,102.5
348.5405746460784,294.5
178.6809054336382,108.5
158.46522478933957,134.0
160.39949905150317,135.5
172.07529695300047,185.0
157.05972513152852,126.5
117.90839168317635,96.5
151.774877001822,135.5
170.56372645381362,221.0
167.60424838119891,135.5
138.03268881350843,101.0
138.3926053918771,96.5
188.51658697974273,204.5
155.32279804326842,132.5
146.82153872983596,105.5
177.44318077272538,135.5
209.07674149052892,260.0
154.1381093685727,128.0
168.2942659108216,219.5
203.307130108206,197.0
306.31553566734186,348.5
152.93600098958294,134.0
186.07317708624288,141.5
200.33053639641687,186.5
179.2348426343416,171.5
215.36988968614142,206.0
154.78320581383002,137.0
125.02374319546729,102.5
348.5405746460784,294.5
178.6809054336382,108.5
158.46522478933957,134.0
160.39949905150317,135.5
172.07529695300047,185.0
157.05972513152852,126.5
117.90839168317635,96.5
151.774877001822,135.5
170.56372645381362,221.0
167.60424838119891,135.5
138.03268881350843,101.0
138.3926053918771,96.5
188.51658697974273,204.5
155.32279804326842,132.5
146.82153872983596,105.5
177.44318077272538,135.5
209.07674149052892,260.0
154.1381093685727,128.0
168.2942659108216,219.5
203.307130108206,197.0
306.31553566734186,348.5
152.93600098958294,134.0
186.07317708624288,141.5
200.33053639641687,186.5
179.2348426343416,171.5
215.36988968614142,206.0
154.78320581383002,137.0
125.02374319546729,102.5
348.5405746460784,294.5
178.6809054336382,108.5
158.46522478933957,134.0
160.39949905150317,135.5
172.07529695300047,185.0
157.05972513152852,126.5
117.90839168317635,96.5
151.774877001822,135.5
170.56372645381362,221.0
167.60424838119891,135.5
138.03268881350843,101.0
138.3926053918771,96.5
188.51658697974273,204.5
155.32279804326842,132.5
146.82153872983596,105.5
177.44318077272538,135.5
209.07674149052892,260.0
154.1381093685727,128.0
168.2942659108216,219.5
203.307130108206,197.0
306.31553566734186,348.5
152.93600098958294,134.0
186.07317708624288,141.5
200.33053639641687,186.5
179.2348426343416,171.5
215.36988968614142,206.0
154.78320581383002,137.0
125.02374319546729,102.5
348.5405746460784,294.5
178.6809054336382,108.5
158.46522478933957,134.0
160.39949905150317,135.5
172.07529695300047,185.0
157.05972513152852,126.5
117.90839168317635,96.5
151.774877001822,135.5
170.56372645381362,221.0
167.60424838119891,135.5
138.03268881350843,101.0
138.3926053918771,96.5
188.51658697974273,204.5
155.32279804326842,132.5
146.82153872983596,105.5
177.44318077272538,135.5
209.07674149052892,260.0
154.1381093685727,128.0
168.2942659108216,219.5
203.307130108206,197.0
306.31553566734186,348.5
152.93600098958294,134.0
186.07317708624288,141.5
200.33053639641687,186.5
179.2348426343416,171.5
215.36988968614142,206.0
154.78320581383002,137.0
125.02374319546729,102.5
348.5405746460784,294.5
178.6809054336382,108.5
158.46522478933957,134.0
160.39949905150317,135.5
172.07529695300047,185.0
157.05972513152852,126.5
117.90839168317635,96.5
151.774877001822,135.5
170.56372645381362,221.0
167.60424838119891,135.5
138.03268881350843,101.0
138.3926053918771,96.5
188.51658697974273,204.5
155.32279804326842,132.5
146.82153872983596,105.5
177.44318077272538,135.5
209.07674149052892,260.0
154.1381093685727,128.0
168.2942659108216,219.5
203.307130108206,197.0
306.31553566734186,348.5
152.93600098958294,134.0
186.07317708624288,141.5
200.33053639641687,186.5
179.2348426343416,171.5
215.36988968614142,206.0
154.78320581383002,137.0
125.02374319546729,102.5
348.5405746460784,294.5
178.6809054336382,108.5
158.46522478933957,134.0
160.39949905150317,135.5
172.07529695300047,185.0
157.05972513152852,126.5
117.90839168317635,96.5
151.774877001822,135.5
170.56372645381362,221.0
167.60424838119891,135.5
138.03268881350843,101.0
138.3926053918771,96.5
188.51658697974273,204.5
155.32279804326842,132.5
146.82153872983596,105.5
177.44318077272538,135.5
209.07674149052892,260.0
154.1381093685727,128.0
168.2942659108216,219.5
203.307130108206,197.0
306.31553566734186,348.5
152.93600098958294,134.0
186.07317708624288,141.5
200.33053639641687,186.5
179.2348426343416,171.5
215.36988968614142,206.0
154.78320581383002,137.0
125.02374319546729,102.5
348.5405746460784,294.5
178.6809054336382,108.5
158.46522478933957,134.0
160.39949905150317,135.5
172.07529695300047,185.0
157.05972513152852,126.5
117.90839168317635,96.5
151.774877001822,135.5
170.56372645381362,221.0
167.60424838119891,135.5
138.03268881350843,101.0
138.3926053918771,96.5
188.51658697974273,204.5
155.32279804326842,132.5
146.82153872983596,105.5
177.44318077272538,135.5
209.07674149052892,260.0
154.1381093685727,128.0
168.2942659108216,219.5
203.307130108206,197.0
306.31553566734186,348.5
152.93600098958294,134.0
186.07317708624288,141.5
200.33053639641687,186.5
179.2348426343416,171.5
215.36988968614142,206.0
154.78320581383002,137.0
125.02374319546729,102.5
348.5405746460784,294.5
178.6809054336382,108.5
158.46522478933957,134.0
160.39949905150317,135.5
172.07529695300047,185.0
157.05972513152852,126.5
117.90839168317635,96.5
151.774877001822,135.5
170.56372645381362,221.0
167.60424838119891,135.5
138.03268881350843,101.0
138.3926053918771,96.5
188.51658697974273,204.5
155.32279804326842,132.5
146.82153872983596,105.5
177.44318077272538,135.5
209.07674149052892,260.0
154.1381093685727,128.0
168.2942659108216,219.5
203.307130108206,197.0
306.31553566734186,348.5
152.93600098958294,134.0
186.07317708624288,141.5
200.33053639641687,186.5
179.2348426343416,171.5
215.36988968614142,206.0
154.78320581383002,137.0
125.02374319546729,102.5
348.5405746460784,294.5
178.6809054336382,108.5
158.46522478933957,134.0
160.39949905150317,135.5
172.07529695300047,185.0
157.05972513152852,126.5
117.90839168317635,96.5
151.774877001822,135.5
170.56372645381362,221.0
167.60424838119891,135.5
138.03268881350843,101.0
138.3926053918771,96.5
188.51658697974273,204.5
155.32279804326842,132.5
146.82153872983596,105.5
177.44318077272538,135.5
209.07674149052892,260.0
154.1381093685727,128.0
168.2942659108216,219.5
203.307130108206,197.0
306.31553566734186,348.5
152.93600098958294,134.0
186.07317708624288,141.5
200.33053639641687,186.5
179.2348426343416,171.5
215.36988968614142,206.0
154.78320581383002,137.0
125.02374319546729,102.5
348.5405746460784,294.5
178.6809054336382,108.5
158.46522478933957,134.0
160.39949905150317,135.5
172.07529695300047,185.0
157.05972513152852,126.5
117.90839168317635,96.5
151.774877001822,135.5
170.56372645381362,221.0
167.60424838119891,135.5
138.03268881350843,101.0
138.3926053918771,96.5
188.51658697974273,204.5
155.32279804326842,132.5
146.82153872983596,105.5
177.44318077272538,135.5
209.07674149052892,260.0
154.1381093685727,128.0
168.2942659108216,219.5
203.307130108206,197.0
306.31553566734186,348.5
152.93600098958294,134.0
186.07317708624288,141.5
200.33053639641687,186.5
179.2348426343416,171.5
215.36988968614142,206.0
154.78320581383002,137.0
125.02374319546729,102.5
348.5405746460784,294.5
178.6809054336382,108.5
158.46522478933957,134.0
160.39949905150317,135.5
172.07529695300047,185.0
157.05972513152852,126.5
117.90839168317635,96.5
151.774877001822,135.5
170.56372645381362,221.0
167.60424838119891,135.5
138.03268881350843,101.0
138.3926053918771,96.5
188.51658697974273,204.5
155.32279804326842,132.5
146.82153872983596,105.5
177.44318077272538,135.5
209.07674149052892,260.0
154.1381093685727,128.0
168.2942659108216,219.5
203.307130108206,197.0
306.31553566734186,348.5
152.93600098958294,134.0
186.07317708624288,141.5
200.33053639641687,186.5
179.2348426343416,171.5
215.36988968614142,206.0
154.78320581383002,137.0
125.02374319546729,102.5
348.5405746460784,294.5
178.6809054336382,108.5
158.46522478933957,134.0
160.39949905150317,135.5
172.07529695300047,185.0
157.05972513152852,126.5
117.90839168317635,96.5
151.774877001822,135.5
170.56372645381362,221.0
167.60424838119891,135.5
138.03268881350843,101.0
138.3926053918771,96.5
188.51658697974273,204.5
155.32279804326842,132.5
146.82153872983596,105.5
177.44318077272538,135.5
209.07674149052892,260.0
154.1381093685727,128.0
168.2942659108216,219.5
203.307130108206,197.0
306.31553566734186,348.5
152.93600098958294,134.0
186.07317708624288,141.5
200.33053639641687,186.5
179.2348426343416,171.5
215.36988968614142,206.0
154.78320581383002,137.0
125.02374319546729,102.5
348.5405746460784,294.5
178.6809054336382,108.5
158.46522478933957,134.0
160.39949905150317,135.5
172.07529695300047,185.0
157.05972513152852,126.5
117.90839168317635,96.5
151.774877001822,135.5
170.56372645381362,221.0
167.60424838119891,135.5
138.03268881350843,101.0
138.3926053918771,96.5
188.51658697974273,204.5
155.32279804326842,132.5
146.82153872983596,105.5
177.44318077272538,135.5
209.07674149052892,260.0
154.1381093685727,128.0
168.2942659108216,219.5
203.307130108206,197.0
306.31553566734186,348.5
152.93600098958294,134.0
186.07317708624288,141.5
200.33053639641687,186.5
179.2348426343416,171.5
215.36988968614142,206.0
154.78320581383002,137.0
125.02374319546729,102.5
348.5405746460784,294.5
178.6809054336382,108.5
158.46522478933957,134.0
160.39949905150317,135.5
172.07529695300047,185.0
157.05972513152852,126.5
117.90839168317635,96.5
151.774877001822,135.5
170.56372645381362,221.0
167.60424838119891,135.5
138.03268881350843,101.0
138.3926053918771,96.5
188.51658697974273,204.5
155.32279804326842,132.5
146.82153872983596,105.5
177.44318077272538,135.5
209.07674149052892,260.0
154.1381093685727,128.0
168.2942659108216,219.5
203.307130108206,197.0
306.31553566734186,348.5
152.93600098958294,134.0
186.07317708624288,141.5
200.33053639641687,186.5
179.2348426343416,171.5
215.36988968614142,206.0
154.78320581383002,137.0
125.02374319546729,102.5
348.5405746460784,294.5
178.6809054336382,108.5
158.46522478933957,134.0
160.39949905150317,135.5
172.07529695300047,185.0
157.05972513152852,126.5
117.90839168317635,96.5
151.774877001822,135.5
170.56372645381362,221.0
167.60424838119891,135.5
138.03268881350843,101.0
138.3926053918771,96.5
188.51658697974273,204.5
155.32279804326842,132.5
146.82153872983596,105.5
177.44318077272538,135.5
209.07674149052892,260.0
154.1381093685727,128.0
168.2942659108216,219.5
203.307130108206,197.0
306.31553566734186,348.5
152.93600098958294,134.0
186.07317708624288,141.5
200.33053639641687,186.5
179.2348426343416,171.5
215.36988968614142,206.0
154.78320581383002,137.0
125.02374319546729,102.5
348.5405746460784,294.5
178.6809054336382,108.5
158.46522478933957,134.0
160.39949905150317,135.5
172.07529695300047,185.0
157.05972513152852,126.5
117.90839168317635,96.5
151.774877001822,135.5
170.56372645381362,221.0
167.60424838119891,135.5
138.03268881350843,101.0
138.3926053918771,96.5
188.51658697974273,204.5
155.32279804326842,132.5
146.82153872983596,105.5
177.44318077272538,135.5
209.07674149052892,260.0
154.1381093685727,128.0
168.2942659108216,219.5
203.307130108206,197.0
306.31553566734186,348.5
152.93600098958294,134.0
186.07317708624288,141.5
200.33053639641687,186.5
179.2348426343416,171.5
215.36988968614142,206.0
154.78320581383002,137.0
125.02374319546729,102.5
348.5405746460784,294.5
178.6809054336382,108.5
158.46522478933957,134.0
160.39949905150317,135.5
172.07529695300047,185.0
157.05972513152852,126.5
117.90839168317635,96.5
151.774877001822,135.5
170.56372645381362,221.0
167.60424838119891,135.5
138.03268881350843,101.0
138.3926053918771,96.5
188.51658697974273,204.5
155.32279804326842,132.5
146.82153872983596,105.5
177.44318077272538,135.5
209.07674149052892,260.0
154.1381093685727,128.0
168.2942659108216,219.5
203.307130108206,197.0
306.31553566734186,348.5
152.93600098958294,134.0
186.07317708624288,141.5
200.33053639641687,186.5
179.2348426343416,171.5
215.36988968614142,206.0
154.78320581383002,137.0
125.02374319546729,102.5
348.5405746460784,294.5
178.6809054336382,108.5
158.46522478933957,134.0
160.39949905150317,135.5
172.07529695300047,185.0
157.05972513152852,126.5
117.90839168317635,96.5
151.774877001822,135.5
170.56372645381362,221.0
167.60424838119891,135.5
138.03268881350843,101.0
138.3926053918771,96.5
188.51658697974273,204.5
155.32279804326842,132.5
146.82153872983596,105.5
177.44318077272538,135.5
209.07674149052892,260.0
154.1381093685727,128.0
168.2942659108216,219.5
203.307130108206,197.0
306.31553566734186,348.5
152.93600098958294,134.0
186.07317708624288,141.5
200.33053639641687,186.5
179.2348426343416,171.5
215.36988968614142,206.0
154.78320581383002,137.0
125.02374319546729,102.5
348.5405746460784,294.5
178.6809054336382,108.5
158.46522478933957,134.0
160.39949905150317,135.5
172.07529695300047,185.0
157.05972513152852,126.5
117.90839168317635,96.5
151.774877001822,135.5
170.56372645381362,221.0
167.60424838119891,135.5
138.03268881350843,101.0
138.3926053918771,96.5
188.51658697974273,204.5
155.32279804326842,132.5
146.82153872983596,105.5
177.44318077272538,135.5
209.07674149052892,260.0
154.1381093685727,128.0
168.2942659108216,219.5
203.307130108206,197.0
306.31553566734186,348.5
152.93600098958294,134.0
186.07317708624288,141.5
200.33053639641687,186.5
179.2348426343416,171.5
215.36988968614142,206.0
154.78320581383002,137.0
125.02374319546729,102.5
348.5405746460784,294.5
178.6809054336382,108.5
158.46522478933957,134.0
160.39949905150317,135.5
172.07529695300047,185.0
157.05972513152852,126.5
117.90839168317635,96.5
151.774877001822,135.5
170.56372645381362,221.0
167.60424838119891,135.5
138.03268881350843,101.0
138.3926053918771,96.5
