#CCCD,CCPD
139.12244958072685,69.5
455.0341071938337,425.0
167.13218171217966,125.0
143.37938305969308,54.5
144.5095858341457,99.5
180.07129265719547,86.0
159.7370907421426,144.5
168.60351356809025,98.0
182.7696923301693,120.5
144.90899305464012,92.0
147.51954054794965,102.5
130.10978242384374,75.5
198.5751877649809,96.5
140.20876211521406,125.0
127.63381319678317,114.5
121.81877213661676,54.5
142.32866225670355,56.0
123.15580291232685,87.5
129.0564185232641,111.5
157.23481233917786,144.5
139.0202837995598,57.5
188.45423954168004,101.0
146.1405488299319,134.0
116.55372833696009,74.0
142.33880058078353,86.0
175.16979955405463,89.0
181.54775154633927,104.0
143.97702646822066,141.5
139.12244958072685,69.5
455.0341071938337,425.0
167.13218171217966,125.0
143.37938305969308,54.5
144.5095858341457,99.5
180.07129265719547,86.0
159.7370907421426,144.5
168.60351356809025,98.0
182.7696923301693,120.5
144.90899305464012,92.0
147.51954054794965,102.5
130.10978242384374,75.5
198.5751877649809,96.5
140.20876211521406,125.0
127.63381319678317,114.5
121.81877213661676,54.5
142.32866225670355,56.0
123.15580291232685,87.5
129.0564185232641,111.5
157.23481233917786,144.5
139.0202837995598,57.5
188.45423954168004,101.0
146.1405488299319,134.0
116.55372833696009,74.0
142.33880058078353,86.0
175.16979955405463,89.0
181.54775154633927,104.0
143.97702646822066,141.5
139.12244958072685,69.5
455.0341071938337,425.0
167.13218171217966,125.0
143.37938305969308,54.5
144.5095858341457,99.5
180.07129265719547,86.0
159.7370907421426,144.5
168.60351356809025,98.0
182.7696923301693,120.5
144.90899305464012,92.0
147.51954054794965,102.5
130.10978242384374,75.5
198.5751877649809,96.5
140.20876211521406,125.0
127.63381319678317,114.5
121.81877213661676,54.5
142.32866225670355,56.0
123.15580291232685,87.5
129.0564185232641,111.5
157.23481233917786,144.5
139.0202837995598,57.5
188.45423954168004,101.0
146.1405488299319,134.0
116.55372833696009,74.0
142.33880058078353,86.0
175.16979955405463,89.0
181.54775154633927,104.0
143.97702646822066,141.5
139.12244958072685,69.5
455.0341071938337,425.0
167.13218171217966,125.0
143.37938305969308,54.5
144.5095858341457,99.5
180.07129265719547,86.0
159.7370907421426,144.5
168.60351356809025,98.0
182.7696923301693,120.5
144.90899305464012,92.0
147.51954054794965,102.5
130.10978242384374,75.5
198.5751877649809,96.5
140.20876211521406,125.0
127.63381319678317,114.5
121.81877213661676,54.5
142.32866225670355,56.0
123.15580291232685,87.5
129.0564185232641,111.5
157.23481233917786,144.5
139.0202837995598,57.5
188.45423954168004,101.0
146.1405488299319,134.0
116.55372833696009,74.0
142.33880058078353,86.0
175.16979955405463,89.0
181.54775154633927,104.0
143.97702646822066,141.5
139.12244958072685,69.5
455.0341071938337,425.0
167.13218171217966,125.0
143.37938305969308,54.5
144.5095858341457,99.5
180.07129265719547,86.0
159.7370907421426,144.5
168.60351356809025,98.0
182.7696923301693,120.5
144.90899305464012,92.0
147.51954054794965,102.5
130.10978242384374,75.5
198.5751877649809,96.5
140.20876211521406,125.0
127.63381319678317,114.5
121.81877213661676,54.5
142.32866225670355,56.0
123.15580291232685,87.5
129.0564185232641,111.5
157.23481233917786,144.5
139.0202837995598,57.5
188.45423954168004,101.0
146.1405488299319,134.0
116.55372833696009,74.0
142.33880058078353,86.0
175.16979955405463,89.0
181.54775154633927,104.0
143.97702646822066,141.5
139.12244958072685,69.5
455.0341071938337,425.0
167.13218171217966,125.0
143.37938305969308,54.5
144.5095858341457,99.5
180.07129265719547,86.0
159.7370907421426,144.5
168.60351356809025,98.0
182.7696923301693,120.5
144.90899305464012,92.0
147.51954054794965,102.5
130.10978242384374,75.5
198.5751877649809,96.5
140.20876211521406,125.0
127.63381319678317,114.5
121.81877213661676,54.5
142.32866225670355,56.0
123.15580291232685,87.5
129.0564185232641,111.5
157.23481233917786,144.5
139.0202837995598,57.5
188.45423954168004,101.0
146.1405488299319,134.0
116.55372833696009,74.0
142.33880058078353,86.0
175.16979955405463,89.0
181.54775154633927,104.0
143.97702646822066,141.5
139.12244958072685,69.5
455.0341071938337,425.0
167.13218171217966,125.0
143.37938305969308,54.5
144.5095858341457,99.5
180.07129265719547,86.0
159.7370907421426,144.5
168.60351356809025,98.0
182.7696923301693,120.5
144.90899305464012,92.0
147.51954054794965,102.5
130.10978242384374,75.5
198.5751877649809,96.5
140.20876211521406,125.0
127.63381319678317,114.5
121.81877213661676,54.5
142.32866225670355,56.0
123.15580291232685,87.5
129.0564185232641,111.5
157.23481233917786,144.5
139.0202837995598,57.5
188.45423954168004,101.0
146.1405488299319,134.0
116.55372833696009,74.0
142.33880058078353,86.0
175.16979955405463,89.0
181.54775154633927,104.0
143.97702646822066,141.5
139.12244958072685,69.5
455.0341071938337,425.0
167.13218171217966,125.0
143.37938305969308,54.5
144.5095858341457,99.5
180.07129265719547,86.0
159.7370907421426,144.5
168.60351356809025,98.0
182.7696923301693,120.5
144.90899305464012,92.0
147.51954054794965,102.5
130.10978242384374,75.5
198.5751877649809,96.5
140.20876211521406,125.0
127.63381319678317,114.5
121.81877213661676,54.5
142.32866225670355,56.0
123.15580291232685,87.5
129.0564185232641,111.5
157.23481233917786,144.5
139.0202837995598,57.5
188.45423954168004,101.0
146.1405488299319,134.0
116.55372833696009,74.0
142.33880058078353,86.0
175.16979955405463,89.0
181.54775154633927,104.0
143.97702646822066,141.5
139.12244958072685,69.5
455.0341071938337,425.0
167.13218171217966,125.0
143.37938305969308,54.5
144.5095858341457,99.5
180.07129265719547,86.0
159.7370907421426,144.5
168.60351356809025,98.0
182.7696923301693,120.5
144.90899305464012,92.0
147.51954054794965,102.5
130.10978242384374,75.5
198.5751877649809,96.5
140.20876211521406,125.0
127.63381319678317,114.5
121.81877213661676,54.5
142.32866225670355,56.0
123.15580291232685,87.5
129.0564185232641,111.5
157.23481233917786,144.5
139.0202837995598,57.5
188.45423954168004,101.0
146.1405488299319,134.0
116.55372833696009,74.0
142.33880058078353,86.0
175.16979955405463,89.0
181.54775154633927,104.0
143.97702646822066,141.5
139.12244958072685,69.5
455.0341071938337,425.0
167.13218171217966,125.0
143.37938305969308,54.5
144.5095858341457,99.5
180.07129265719547,86.0
159.7370907421426,144.5
168.60351356809025,98.0
182.7696923301693,120.5
144.90899305464012,92.0
147.51954054794965,102.5
130.10978242384374,75.5
198.5751877649809,96.5
140.20876211521406,125.0
127.63381319678317,114.5
121.81877213661676,54.5
142.32866225670355,56.0
123.15580291232685,87.5
129.0564185232641,111.5
157.23481233917786,144.5
139.0202837995598,57.5
188.45423954168004,101.0
146.1405488299319,134.0
116.55372833696009,74.0
142.33880058078353,86.0
175.16979955405463,89.0
181.54775154633927,104.0
143.97702646822066,141.5
139.12244958072685,69.5
455.0341071938337,425.0
167.13218171217966,125.0
143.37938305969308,54.5
144.5095858341457,99.5
180.07129265719547,86.0
159.7370907421426,144.5
168.60351356809025,98.0
182.7696923301693,120.5
144.90899305464012,92.0
147.51954054794965,102.5
130.10978242384374,75.5
198.5751877649809,96.5
140.20876211521406,125.0
127.63381319678317,114.5
121.81877213661676,54.5
142.32866225670355,56.0
123.15580291232685,87.5
129.0564185232641,111.5
157.23481233917786,144.5
139.0202837995598,57.5
188.45423954168004,101.0
146.1405488299319,134.0
116.55372833696009,74.0
142.33880058078353,86.0
175.16979955405463,89.0
181.54775154633927,104.0
143.97702646822066,141.5
139.12244958072685,69.5
455.0341071938337,425.0
167.13218171217966,125.0
143.37938305969308,54.5
144.5095858341457,99.5
180.07129265719547,86.0
159.7370907421426,144.5
168.60351356809025,98.0
182.7696923301693,120.5
144.90899305464012,92.0
147.51954054794965,102.5
130.10978242384374,75.5
198.5751877649809,96.5
140.20876211521406,125.0
127.63381319678317,114.5
121.81877213661676,54.5
142.32866225670355,56.0
123.15580291232685,87.5
129.0564185232641,111.5
157.23481233917786,144.5
139.0202837995598,57.5
188.45423954168004,101.0
146.1405488299319,134.0
116.55372833696009,74.0
142.33880058078353,86.0
175.16979955405463,89.0
181.54775154633927,104.0
143.97702646822066,141.5
139.12244958072685,69.5
455.0341071938337,425.0
167.13218171217966,125.0
143.37938305969308,54.5
144.5095858341457,99.5
180.07129265719547,86.0
159.7370907421426,144.5
168.60351356809025,98.0
182.7696923301693,120.5
144.90899305464012,92.0
147.51954054794965,102.5
130.10978242384374,75.5
198.5751877649809,96.5
140.20876211521406,125.0
127.63381319678317,114.5
121.81877213661676,54.5
142.32866225670355,56.0
123.15580291232685,87.5
129.0564185232641,111.5
157.23481233917786,144.5
139.0202837995598,57.5
188.45423954168004,101.0
146.1405488299319,134.0
116.55372833696009,74.0
142.33880058078353,86.0
175.16979955405463,89.0
181.54775154633927,104.0
143.97702646822066,141.5
139.12244958072685,69.5
455.0341071938337,425.0
167.13218171217966,125.0
143.37938305969308,54.5
144.5095858341457,99.5
180.07129265719547,86.0
159.7370907421426,144.5
168.60351356809025,98.0
182.7696923301693,120.5
144.90899305464012,92.0
147.51954054794965,102.5
130.10978242384374,75.5
198.5751877649809,96.5
140.20876211521406,125.0
127.63381319678317,114.5
121.81877213661676,54.5
142.32866225670355,56.0
123.15580291232685,87.5
129.0564185232641,111.5
157.23481233917786,144.5
139.0202837995598,57.5
188.45423954168004,101.0
146.1405488299319,134.0
116.55372833696009,74.0
142.33880058078353,86.0
175.16979955405463,89.0
181.54775154633927,104.0
143.97702646822066,141.5
139.12244958072685,69.5
455.0341071938337,425.0
167.13218171217966,125.0
143.37938305969308,54.5
144.5095858341457,99.5
180.07129265719547,86.0
159.7370907421426,144.5
168.60351356809025,98.0
182.7696923301693,120.5
144.90899305464012,92.0
147.51954054794965,102.5
130.10978242384374,75.5
198.5751877649809,96.5
140.20876211521406,125.0
127.63381319678317,114.5
121.81877213661676,54.5
142.32866225670355,56.0
123.15580291232685,87.5
129.0564185232641,111.5
157.23481233917786,144.5
139.0202837995598,57.5
188.45423954168004,101.0
146.1405488299319,134.0
116.55372833696009,74.0
142.33880058078353,86.0
175.16979955405463,89.0
181.54775154633927,104.0
143.97702646822066,141.5
139.12244958072685,69.5
455.0341071938337,425.0
167.13218171217966,125.0
143.37938305969308,54.5
144.5095858341457,99.5
180.07129265719547,86.0
159.7370907421426,144.5
168.60351356809025,98.0
182.7696923301693,120.5
144.90899305464012,92.0
147.51954054794965,102.5
130.10978242384374,75.5
198.5751877649809,96.5
140.20876211521406,125.0
127.63381319678317,114.5
121.81877213661676,54.5
142.32866225670355,56.0
123.15580291232685,87.5
129.0564185232641,111.5
157.23481233917786,144.5
139.0202837995598,57.5
188.45423954168004,101.0
146.1405488299319,134.0
116.55372833696009,74.0
142.33880058078353,86.0
175.16979955405463,89.0
181.54775154633927,104.0
143.97702646822066,141.5
139.12244958072685,69.5
455.0341071938337,425.0
167.13218171217966,125.0
143.37938305969308,54.5
144.5095858341457,99.5
180.07129265719547,86.0
159.7370907421426,144.5
168.60351356809025,98.0
182.7696923301693,120.5
144.90899305464012,92.0
147.51954054794965,102.5
130.10978242384374,75.5
198.5751877649809,96.5
140.20876211521406,125.0
127.63381319678317,114.5
121.81877213661676,54.5
142.32866225670355,56.0
123.15580291232685,87.5
129.0564185232641,111.5
157.23481233917786,144.5
139.0202837995598,57.5
188.45423954168004,101.0
146.1405488299319,134.0
116.55372833696009,74.0
142.33880058078353,86.0
175.16979955405463,89.0
181.54775154633927,104.0
143.97702646822066,141.5
139.12244958072685,69.5
455.0341071938337,425.0
167.13218171217966,125.0
143.37938305969308,54.5
144.5095858341457,99.5
180.07129265719547,86.0
159.7370907421426,144.5
168.60351356809025,98.0
182.7696923301693,120.5
144.90899305464012,92.0
147.51954054794965,102.5
130.10978242384374,75.5
198.5751877649809,96.5
140.20876211521406,125.0
127.63381319678317,114.5
121.81877213661676,54.5
142.32866225670355,56.0
123.15580291232685,87.5
129.0564185232641,111.5
157.23481233917786,144.5
139.0202837995598,57.5
188.45423954168004,101.0
146.1405488299319,134.0
116.55372833696009,74.0
142.33880058078353,86.0
175.16979955405463,89.0
181.54775154633927,104.0
143.97702646822066,141.5
139.12244958072685,69.5
455.0341071938337,425.0
167.13218171217966,125.0
143.37938305969308,54.5
144.5095858341457,99.5
180.07129265719547,86.0
159.7370907421426,144.5
168.60351356809025,98.0
182.7696923301693,120.5
144.90899305464012,92.0
147.51954054794965,102.5
130.10978242384374,75.5
198.5751877649809,96.5
140.20876211521406,125.0
127.63381319678317,114.5
121.81877213661676,54.5
142.32866225670355,56.0
123.15580291232685,87.5
129.0564185232641,111.5
157.23481233917786,144.5
139.0202837995598,57.5
188.45423954168004,101.0
146.1405488299319,134.0
116.55372833696009,74.0
142.33880058078353,86.0
175.16979955405463,89.0
181.54775154633927,104.0
143.97702646822066,141.5
139.12244958072685,69.5
455.0341071938337,425.0
167.13218171217966,125.0
143.37938305969308,54.5
144.5095858341457,99.5
180.07129265719547,86.0
159.7370907421426,144.5
168.60351356809025,98.0
182.7696923301693,120.5
144.90899305464012,92.0
147.51954054794965,102.5
130.10978242384374,75.5
198.5751877649809,96.5
140.20876211521406,125.0
127.63381319678317,114.5
121.81877213661676,54.5
142.32866225670355,56.0
123.15580291232685,87.5
129.0564185232641,111.5
157.23481233917786,144.5
139.0202837995598,57.5
188.45423954168004,101.0
146.1405488299319,134.0
116.55372833696009,74.0
142.33880058078353,86.0
175.16979955405463,89.0
181.54775154633927,104.0
143.97702646822066,141.5
139.12244958072685,69.5
455.0341071938337,425.0
167.13218171217966,125.0
143.37938305969308,54.5
144.5095858341457,99.5
180.07129265719547,86.0
159.7370907421426,144.5
168.60351356809025,98.0
182.7696923301693,120.5
144.90899305464012,92.0
147.51954054794965,102.5
130.10978242384374,75.5
198.5751877649809,96.5
140.20876211521406,125.0
127.63381319678317,114.5
121.81877213661676,54.5
142.32866225670355,56.0
123.15580291232685,87.5
129.0564185232641,111.5
157.23481233917786,144.5
139.0202837995598,57.5
188.45423954168004,101.0
146.1405488299319,134.0
116.55372833696009,74.0
142.33880058078353,86.0
175.16979955405463,89.0
181.54775154633927,104.0
143.97702646822066,141.5
139.12244958072685,69.5
455.0341071938337,425.0
167.13218171217966,125.0
143.37938305969308,54.5
144.5095858341457,99.5
180.07129265719547,86.0
159.7370907421426,144.5
168.60351356809025,98.0
182.7696923301693,120.5
144.90899305464012,92.0
147.51954054794965,102.5
130.10978242384374,75.5
198.5751877649809,96.5
140.20876211521406,125.0
127.63381319678317,114.5
121.81877213661676,54.5
142.32866225670355,56.0
123.15580291232685,87.5
129.0564185232641,111.5
157.23481233917786,144.5
139.0202837995598,57.5
188.45423954168004,101.0
146.1405488299319,134.0
116.55372833696009,74.0
142.33880058078353,86.0
175.16979955405463,89.0
181.54775154633927,104.0
143.97702646822066,141.5
139.12244958072685,69.5
455.0341071938337,425.0
167.13218171217966,125.0
143.37938305969308,54.5
144.5095858341457,99.5
180.07129265719547,86.0
159.7370907421426,144.5
168.60351356809025,98.0
182.7696923301693,120.5
144.90899305464012,92.0
147.51954054794965,102.5
130.10978242384374,75.5
198.5751877649809,96.5
140.20876211521406,125.0
127.63381319678317,114.5
121.81877213661676,54.5
142.32866225670355,56.0
123.15580291232685,87.5
129.0564185232641,111.5
157.23481233917786,144.5
139.0202837995598,57.5
188.45423954168004,101.0
146.1405488299319,134.0
116.55372833696009,74.0
142.33880058078353,86.0
175.16979955405463,89.0
181.54775154633927,104.0
143.97702646822066,141.5
139.12244958072685,69.5
455.0341071938337,425.0
167.13218171217966,125.0
143.37938305969308,54.5
144.5095858341457,99.5
180.07129265719547,86.0
159.7370907421426,144.5
168.60351356809025,98.0
182.7696923301693,120.5
144.90899305464012,92.0
147.51954054794965,102.5
130.10978242384374,75.5
198.5751877649809,96.5
140.20876211521406,125.0
127.63381319678317,114.5
121.81877213661676,54.5
142.32866225670355,56.0
123.15580291232685,87.5
129.0564185232641,111.5
157.23481233917786,144.5
139.0202837995598,57.5
188.45423954168004,101.0
146.1405488299319,134.0
116.55372833696009,74.0
142.33880058078353,86.0
175.16979955405463,89.0
181.54775154633927,104.0
143.97702646822066,141.5
139.12244958072685,69.5
455.0341071938337,425.0
167.13218171217966,125.0
143.37938305969308,54.5
144.5095858341457,99.5
180.07129265719547,86.0
159.7370907421426,144.5
168.60351356809025,98.0
182.7696923301693,120.5
144.90899305464012,92.0
147.51954054794965,102.5
130.10978242384374,75.5
198.5751877649809,96.5
140.20876211521406,125.0
127.63381319678317,114.5
121.81877213661676,54.5
142.32866225670355,56.0
123.15580291232685,87.5
129.0564185232641,111.5
157.23481233917786,144.5
139.0202837995598,57.5
188.45423954168004,101.0
146.1405488299319,134.0
116.55372833696009,74.0
142.33880058078353,86.0
175.16979955405463,89.0
181.54775154633927,104.0
143.97702646822066,141.5
139.12244958072685,69.5
455.0341071938337,425.0
167.13218171217966,125.0
143.37938305969308,54.5
144.5095858341457,99.5
180.07129265719547,86.0
159.7370907421426,144.5
168.60351356809025,98.0
182.7696923301693,120.5
144.90899305464012,92.0
147.51954054794965,102.5
130.10978242384374,75.5
198.5751877649809,96.5
140.20876211521406,125.0
127.63381319678317,114.5
121.81877213661676,54.5
142.32866225670355,56.0
123.15580291232685,87.5
129.0564185232641,111.5
157.23481233917786,144.5
139.0202837995598,57.5
188.45423954168004,101.0
146.1405488299319,134.0
116.55372833696009,74.0
142.33880058078353,86.0
175.16979955405463,89.0
181.54775154633927,104.0
143.97702646822066,141.5
139.12244958072685,69.5
455.0341071938337,425.0
167.13218171217966,125.0
143.37938305969308,54.5
144.5095858341457,99.5
180.07129265719547,86.0
159.7370907421426,144.5
168.60351356809025,98.0
182.7696923301693,120.5
144.90899305464012,92.0
147.51954054794965,102.5
130.10978242384374,75.5
198.5751877649809,96.5
140.20876211521406,125.0
127.63381319678317,114.5
121.81877213661676,54.5
142.32866225670355,56.0
123.15580291232685,87.5
129.0564185232641,111.5
157.23481233917786,144.5
139.0202837995598,57.5
188.45423954168004,101.0
146.1405488299319,134.0
116.55372833696009,74.0
142.33880058078353,86.0
175.16979955405463,89.0
181.54775154633927,104.0
143.97702646822066,141.5
139.12244958072685,69.5
455.0341071938337,425.0
167.13218171217966,125.0
143.37938305969308,54.5
144.5095858341457,99.5
180.07129265719547,86.0
159.7370907421426,144.5
168.60351356809025,98.0
182.7696923301693,120.5
144.90899305464012,92.0
147.51954054794965,102.5
130.10978242384374,75.5
198.5751877649809,96.5
140.20876211521406,125.0
127.63381319678317,114.5
121.81877213661676,54.5
142.32866225670355,56.0
123.15580291232685,87.5
129.0564185232641,111.5
157.23481233917786,144.5
139.0202837995598,57.5
188.45423954168004,101.0
146.1405488299319,134.0
116.55372833696009,74.0
142.33880058078353,86.0
175.16979955405463,89.0
181.54775154633927,104.0
143.97702646822066,141.5
139.12244958072685,69.5
455.0341071938337,425.0
167.13218171217966,125.0
143.37938305969308,54.5
144.5095858341457,99.5
180.07129265719547,86.0
159.7370907421426,144.5
168.60351356809025,98.0
182.7696923301693,120.5
144.90899305464012,92.0
147.51954054794965,102.5
130.10978242384374,75.5
198.5751877649809,96.5
140.20876211521406,125.0
127.63381319678317,114.5
121.81877213661676,54.5
142.32866225670355,56.0
123.15580291232685,87.5
129.0564185232641,111.5
157.23481233917786,144.5
139.0202837995598,57.5
188.45423954168004,101.0
146.1405488299319,134.0
116.55372833696009,74.0
142.33880058078353,86.0
175.16979955405463,89.0
181.54775154633927,104.0
143.97702646822066,141.5
139.12244958072685,69.5
455.0341071938337,425.0
167.13218171217966,125.0
143.37938305969308,54.5
144.5095858341457,99.5
180.07129265719547,86.0
159.7370907421426,144.5
168.60351356809025,98.0
182.7696923301693,120.5
144.90899305464012,92.0
147.51954054794965,102.5
130.10978242384374,75.5
198.5751877649809,96.5
140.20876211521406,125.0
127.63381319678317,114.5
121.81877213661676,54.5
142.32866225670355,56.0
123.15580291232685,87.5
129.0564185232641,111.5
157.23481233917786,144.5
139.0202837995598,57.5
188.45423954168004,101.0
146.1405488299319,134.0
116.55372833696009,74.0
142.33880058078353,86.0
175.16979955405463,89.0
181.54775154633927,104.0
143.97702646822066,141.5
139.12244958072685,69.5
455.0341071938337,425.0
167.13218171217966,125.0
143.37938305969308,54.5
144.5095858341457,99.5
180.07129265719547,86.0
159.7370907421426,144.5
168.60351356809025,98.0
182.7696923301693,120.5
144.90899305464012,92.0
147.51954054794965,102.5
130.10978242384374,75.5
198.5751877649809,96.5
140.20876211521406,125.0
127.63381319678317,114.5
121.81877213661676,54.5
142.32866225670355,56.0
123.15580291232685,87.5
129.0564185232641,111.5
157.23481233917786,144.5
139.0202837995598,57.5
188.45423954168004,101.0
146.1405488299319,134.0
116.55372833696009,74.0
142.33880058078353,86.0
175.16979955405463,89.0
181.54775154633927,104.0
143.97702646822066,141.5
139.12244958072685,69.5
455.0341071938337,425.0
167.13218171217966,125.0
143.37938305969308,54.5
144.5095858341457,99.5
180.07129265719547,86.0
159.7370907421426,144.5
168.60351356809025,98.0
182.7696923301693,120.5
144.90899305464012,92.0
147.51954054794965,102.5
130.10978242384374,75.5
198.5751877649809,96.5
140.20876211521406,125.0
127.63381319678317,114.5
121.81877213661676,54.5
142.32866225670355,56.0
123.15580291232685,87.5
129.0564185232641,111.5
157.23481233917786,144.5
139.0202837995598,57.5
188.45423954168004,101.0
146.1405488299319,134.0
116.55372833696009,74.0
142.33880058078353,86.0
175.16979955405463,89.0
181.54775154633927,104.0
143.97702646822066,141.5
139.12244958072685,69.5
455.0341071938337,425.0
167.13218171217966,125.0
143.37938305969308,54.5
144.5095858341457,99.5
180.07129265719547,86.0
159.7370907421426,144.5
168.60351356809025,98.0
182.7696923301693,120.5
144.90899305464012,92.0
147.51954054794965,102.5
130.10978242384374,75.5
198.5751877649809,96.5
140.20876211521406,125.0
127.63381319678317,114.5
121.81877213661676,54.5
142.32866225670355,56.0
123.15580291232685,87.5
129.0564185232641,111.5
157.23481233917786,144.5
139.0202837995598,57.5
188.45423954168004,101.0
146.1405488299319,134.0
116.55372833696009,74.0
142.33880058078353,86.0
175.16979955405463,89.0
181.54775154633927,104.0
143.97702646822066,141.5
139.12244958072685,69.5
455.0341071938337,425.0
167.13218171217966,125.0
143.37938305969308,54.5
144.5095858341457,99.5
180.07129265719547,86.0
159.7370907421426,144.5
168.60351356809025,98.0
182.7696923301693,120.5
144.90899305464012,92.0
147.51954054794965,102.5
130.10978242384374,75.5
198.5751877649809,96.5
140.20876211521406,125.0
127.63381319678317,114.5
121.81877213661676,54.5
142.32866225670355,56.0
123.15580291232685,87.5
129.0564185232641,111.5
157.23481233917786,144.5
139.0202837995598,57.5
188.45423954168004,101.0
146.1405488299319,134.0
116.55372833696009,74.0
142.33880058078353,86.0
175.16979955405463,89.0
181.54775154633927,104.0
143.97702646822066,141.5
139.12244958072685,69.5
455.0341071938337,425.0
167.13218171217966,125.0
143.37938305969308,54.5
144.5095858341457,99.5
180.07129265719547,86.0
159.7370907421426,144.5
168.60351356809025,98.0
182.7696923301693,120.5
144.90899305464012,92.0
